Header:
#Digilent WaveForms Logic Analyzer Acquisition
#Device Name: Discovery2
#Serial Number: SN:210321A3700F
#Date Time: 2022-10-28 16:23:37.780
#Sample rate: 50000Hz
#Samples: 1299048

time, angle, A, B
6.017120, 0.175781, 1, 0
6.026420, 0.351562, 1, 1
6.033440, 0.527344, 0, 1
6.040100, 0.703125, 0, 0
6.044620, 0.878906, 1, 0
6.049020, 1.054688, 1, 1
6.053480, 1.230469, 0, 1
6.058320, 1.406250, 0, 0
6.062000, 1.582031, 1, 0
6.065780, 1.757812, 1, 1
6.069560, 1.933594, 0, 1
6.074000, 2.109375, 0, 0
6.077360, 2.285156, 1, 0
6.080920, 2.460938, 1, 1
6.084640, 2.636719, 0, 1
6.088940, 2.812500, 0, 0
6.092040, 2.988281, 1, 0
6.095420, 3.164062, 1, 1
6.098880, 3.339844, 0, 1
6.103040, 3.515625, 0, 0
6.106280, 3.691406, 1, 0
6.109740, 3.867188, 1, 1
6.113340, 4.042969, 0, 1
6.117520, 4.218750, 0, 0
6.120740, 4.394531, 1, 0
6.124140, 4.570312, 1, 1
6.127800, 4.746094, 0, 1
6.131880, 4.921875, 0, 0
6.135160, 5.097656, 1, 0
6.138540, 5.273438, 1, 1
6.142000, 5.449219, 0, 1
6.146140, 5.625000, 0, 0
6.149320, 5.800781, 1, 0
6.152640, 5.976562, 1, 1
6.156000, 6.152344, 0, 1
6.159920, 6.328125, 0, 0
6.162720, 6.503906, 1, 0
6.165720, 6.679688, 1, 1
6.168740, 6.855469, 0, 1
6.172260, 7.031250, 0, 0
6.174920, 7.207031, 1, 0
6.177740, 7.382812, 1, 1
6.180560, 7.558594, 0, 1
6.183880, 7.734375, 0, 0
6.186320, 7.910156, 1, 0
6.188940, 8.085938, 1, 1
6.191700, 8.261719, 0, 1
6.194760, 8.437500, 0, 0
6.197200, 8.613281, 1, 0
6.199640, 8.789062, 1, 1
6.202060, 8.964844, 0, 1
6.204920, 9.140625, 0, 0
6.207060, 9.316406, 1, 0
6.209320, 9.492188, 1, 1
6.211740, 9.667969, 0, 1
6.214420, 9.843750, 0, 0
6.216560, 10.019531, 1, 0
6.218700, 10.195312, 1, 1
6.220840, 10.371094, 0, 1
6.223420, 10.546875, 0, 0
6.225280, 10.722656, 1, 0
6.227340, 10.898438, 1, 1
6.229600, 11.074219, 0, 1
6.232160, 11.250000, 0, 0
6.234220, 11.425781, 1, 0
6.236280, 11.601562, 1, 1
6.238380, 11.777344, 0, 1
6.240880, 11.953125, 0, 0
6.242720, 12.128906, 1, 0
6.244740, 12.304688, 1, 1
6.246900, 12.480469, 0, 1
6.249380, 12.656250, 0, 0
6.251360, 12.832031, 1, 0
6.253360, 13.007812, 1, 1
6.255380, 13.183594, 0, 1
6.257800, 13.359375, 0, 0
6.259600, 13.535156, 1, 0
6.261580, 13.710938, 1, 1
6.263680, 13.886719, 0, 1
6.266120, 14.062500, 0, 0
6.268100, 14.238281, 1, 0
6.270120, 14.414062, 1, 1
6.272180, 14.589844, 0, 1
6.274660, 14.765625, 0, 0
6.276560, 14.941406, 1, 0
6.278600, 15.117188, 1, 1
6.280780, 15.292969, 0, 1
6.283300, 15.468750, 0, 0
6.285280, 15.644531, 1, 0
6.287340, 15.820312, 1, 1
6.289460, 15.996094, 0, 1
6.292020, 16.171875, 0, 0
6.293900, 16.347656, 1, 0
6.295940, 16.523438, 1, 1
6.298040, 16.699219, 0, 1
6.300480, 16.875000, 0, 0
6.302300, 17.050781, 1, 0
6.304220, 17.226562, 1, 1
6.306180, 17.402344, 0, 1
6.308420, 17.578125, 0, 0
6.310120, 17.753906, 1, 0
6.311900, 17.929688, 1, 1
6.313760, 18.105469, 0, 1
6.315840, 18.281250, 0, 0
6.317460, 18.457031, 1, 0
6.319100, 18.632812, 1, 1
6.320820, 18.808594, 0, 1
6.322760, 18.984375, 0, 0
6.324240, 19.160156, 1, 0
6.325780, 19.335938, 1, 1
6.327400, 19.511719, 0, 1
6.329260, 19.687500, 0, 0
6.330660, 19.863281, 1, 0
6.332140, 20.039062, 1, 1
6.333660, 20.214844, 0, 1
6.335440, 20.390625, 0, 0
6.336800, 20.566406, 1, 0
6.338260, 20.742188, 1, 1
6.339780, 20.917969, 0, 1
6.341560, 21.093750, 0, 0
6.342900, 21.269531, 1, 0
6.344340, 21.445312, 1, 1
6.345880, 21.621094, 0, 1
6.347640, 21.796875, 0, 0
6.349040, 21.972656, 1, 0
6.350480, 22.148438, 1, 1
6.352000, 22.324219, 0, 1
6.353760, 22.500000, 0, 0
6.355180, 22.675781, 1, 0
6.356620, 22.851562, 1, 1
6.358180, 23.027344, 0, 1
6.359960, 23.203125, 0, 0
6.361340, 23.378906, 1, 0
6.362800, 23.554688, 1, 1
6.364320, 23.730469, 0, 1
6.366120, 23.906250, 0, 0
6.367520, 24.082031, 1, 0
6.368980, 24.257812, 1, 1
6.370520, 24.433594, 0, 1
6.372360, 24.609375, 0, 0
6.373720, 24.785156, 1, 0
6.375240, 24.960938, 1, 1
6.376800, 25.136719, 0, 1
6.378680, 25.312500, 0, 0
6.380060, 25.488281, 1, 0
6.381620, 25.664062, 1, 1
6.383240, 25.839844, 0, 1
6.385160, 26.015625, 0, 0
6.386640, 26.191406, 1, 0
6.388220, 26.367188, 1, 1
6.389900, 26.542969, 0, 1
6.391880, 26.718750, 0, 0
6.393440, 26.894531, 1, 0
6.395060, 27.070312, 1, 1
6.396820, 27.246094, 0, 1
6.398820, 27.421875, 0, 0
6.400460, 27.597656, 1, 0
6.402120, 27.773438, 1, 1
6.403880, 27.949219, 0, 1
6.405920, 28.125000, 0, 0
6.407520, 28.300781, 1, 0
6.409200, 28.476562, 1, 1
6.410980, 28.652344, 0, 1
6.413060, 28.828125, 0, 0
6.414640, 29.003906, 1, 0
6.416340, 29.179688, 1, 1
6.418140, 29.355469, 0, 1
6.420280, 29.531250, 0, 0
6.421860, 29.707031, 1, 0
6.423620, 29.882812, 1, 1
6.425500, 30.058594, 0, 1
6.427700, 30.234375, 0, 0
6.429400, 30.410156, 1, 0
6.431220, 30.585938, 1, 1
6.433280, 30.761719, 0, 1
6.435500, 30.937500, 0, 0
6.437100, 31.113281, 1, 0
6.438900, 31.289062, 1, 1
6.440840, 31.464844, 0, 1
6.443020, 31.640625, 0, 0
