Header:,,,
#Digilent WaveForms Logic Analyzer Acquisition,,,
#Device Name: Discovery2,,,
#Serial Number: SN:210321A3700F,,,
#Date Time: 2022-10-28 16:30:14.816,,,
#Sample rate: 50000Hz,,,
#Samples: 1366378,,,
,,,
time, angle, A, B
6.65534,38.671875,0,0
6.65694,38.847656,1,0
6.65864,39.023438,1,1
6.66046,39.199219,0,1
6.6626,39.375,0,0
6.66424,39.550781,1,0
6.66602,39.726562,1,1
6.66786,39.902344,0,1
6.67008,40.078125,0,0
6.67182,40.253906,1,0
6.67368,40.429688,1,1
6.67566,40.605469,0,1
6.67796,40.78125,0,0
6.6798,40.957031,1,0
6.6817,41.132812,1,1
6.68372,41.308594,0,1
6.68606,41.484375,0,0
6.68794,41.660156,1,0
6.68988,41.835938,1,1
6.69188,42.011719,0,1
6.69424,42.1875,0,0
6.69606,42.363281,1,0
6.698,42.539062,1,1
6.70004,42.714844,0,1
6.70242,42.890625,0,0
6.70428,43.066406,1,0
6.70622,43.242188,1,1
6.70826,43.417969,0,1
6.71062,43.59375,0,0
6.7124,43.769531,1,0
6.71434,43.945312,1,1
6.7164,44.121094,0,1
6.71878,44.296875,0,0
6.72054,44.472656,1,0
6.72248,44.648438,1,1
6.72444,44.824219,0,1
6.7268,45,0,0
6.72856,45.175781,1,0
6.73048,45.351562,1,1
6.7325,45.527344,0,1
6.73484,45.703125,0,0
6.73678,45.878906,1,0
6.7387,46.054688,1,1
6.74072,46.230469,0,1
6.74306,46.40625,0,0
6.74494,46.582031,1,0
6.74686,46.757812,1,1
6.74892,46.933594,0,1
6.75132,47.109375,0,0
6.75326,47.285156,1,0
6.75524,47.460938,1,1
6.75728,47.636719,0,1
6.7598,47.8125,0,0
6.7616,47.988281,1,0
6.7637,48.164062,1,1
6.7659,48.339844,0,1
6.76858,48.515625,0,0
6.7706,48.691406,1,0
6.77284,48.867188,1,1
6.77518,49.042969,0,1
6.778,49.21875,0,0
6.78026,49.394531,1,0
6.78264,49.570312,1,1
6.78528,49.746094,0,1
6.78834,49.921875,0,0
6.79092,50.097656,1,0
6.7936,50.273438,1,1
6.79648,50.449219,0,1
6.8,50.625,0,0
6.8028,50.800781,1,0
6.80588,50.976562,1,1
6.80914,51.152344,0,1
6.81326,51.328125,0,0
6.81654,51.503906,1,0
6.8202,51.679688,1,1
6.8242,51.855469,0,1
6.82918,52.03125,0,0
6.8333,52.207031,1,0
6.83788,52.382812,1,1
6.8429,52.558594,0,1
6.84884,52.734375,0,0
6.85354,52.910156,1,0
6.85828,53.085938,1,1
6.8631,53.261719,0,1
6.86856,53.4375,0,0
6.8727,53.613281,1,0
6.8772,53.789062,1,1
6.88204,53.964844,0,1
6.88796,54.140625,0,0
6.8932,54.316406,1,0
6.8995,54.492188,1,1
6.90814,54.667969,0,1
6.98286,54.84375,0,0
7.00342,55.019531,1,0
7.01434,55.195312,1,1
7.02308,55.371094,0,1
7.03236,55.546875,0,0
7.03934,55.722656,1,0
7.04664,55.898438,1,1
7.05414,56.074219,0,1
7.06332,56.25,0,0
7.0708,56.425781,1,0
7.07966,56.601562,1,1
7.08954,56.777344,0,1
7.1011,56.953125,0,0
7.1104,57.128906,1,0
7.1214,57.304688,1,1
7.13438,57.480469,0,1
7.15014,57.65625,0,0
7.16454,57.832031,1,0
7.2125,57.65625,0,0
7.22736,57.480469,0,1
7.239,57.304688,1,1
7.24584,57.128906,1,0
7.25218,56.953125,0,0
7.2584,56.777344,0,1
7.26598,56.601562,1,1
7.27184,56.425781,1,0
7.27762,56.25,0,0
7.2834,56.074219,0,1
7.29154,55.898438,1,1
7.29896,55.722656,1,0
7.30706,55.546875,0,0
7.31602,55.371094,0,1
7.33032,55.195312,1,1
7.34692,55.019531,1,0
7.37128,54.84375,0,0
7.51334,54.667969,0,1
7.56084,54.492188,1,1
7.60098,54.667969,0,1
7.71096,54.84375,0,0
7.74088,55.019531,1,0
7.77278,55.195312,1,1
7.80658,55.371094,0,1
7.83728,55.546875,0,0
7.8858,55.722656,1,0
7.97118,55.546875,0,0
8.12128,55.722656,1,0
8.17124,55.546875,0,0
8.24708,55.722656,1,0
8.2828,55.898438,1,1
8.31662,56.074219,0,1
8.42218,56.25,0,0
8.45424,56.425781,1,0
8.47842,56.601562,1,1
8.49862,56.777344,0,1
8.52428,56.953125,0,0
8.55592,57.128906,1,0
8.59858,57.304688,1,1
8.65274,57.480469,0,1
8.79304,57.304688,1,1
8.81974,57.128906,1,0
8.8802,57.304688,1,1
8.89646,57.480469,0,1
8.90572,57.65625,0,0
8.91086,57.832031,1,0
8.91706,58.007812,1,1
8.92494,57.832031,1,0
8.92914,57.65625,0,0
8.93178,57.480469,0,1
8.9345,57.304688,1,1
8.93642,57.128906,1,0
8.93812,56.953125,0,0
8.9396,56.777344,0,1
8.94134,56.601562,1,1
8.94268,56.425781,1,0
8.94392,56.25,0,0
8.94506,56.074219,0,1
8.94644,55.898438,1,1
8.9475,55.722656,1,0
8.94852,55.546875,0,0
8.94948,55.371094,0,1
8.95068,55.195312,1,1
8.9516,55.019531,1,0
8.9525,54.84375,0,0
8.95336,54.667969,0,1
8.95442,54.492188,1,1
8.95526,54.316406,1,0
8.95608,54.140625,0,0
8.95686,53.964844,0,1
8.95782,53.789062,1,1
8.95862,53.613281,1,0
8.95936,53.4375,0,0
8.96006,53.261719,0,1
8.96094,53.085938,1,1
8.96166,52.910156,1,0
8.96236,52.734375,0,0
8.96304,52.558594,0,1
8.96386,52.382812,1,1
8.96454,52.207031,1,0
8.96518,52.03125,0,0
8.96582,51.855469,0,1
8.9666,51.679688,1,1
8.96722,51.503906,1,0
8.96784,51.328125,0,0
8.96842,51.152344,0,1
8.96916,50.976562,1,1
8.96974,50.800781,1,0
8.97032,50.625,0,0
8.9709,50.449219,0,1
8.9716,50.273438,1,1
8.97218,50.097656,1,0
8.97274,49.921875,0,0
8.9733,49.746094,0,1
8.97396,49.570312,1,1
8.97454,49.394531,1,0
8.97508,49.21875,0,0
8.9756,49.042969,0,1
8.97626,48.867188,1,1
8.97678,48.691406,1,0
8.9773,48.515625,0,0
8.9778,48.339844,0,1
8.97842,48.164062,1,1
8.97894,47.988281,1,0
8.97944,47.8125,0,0
8.97988,47.636719,0,1
8.9805,47.460938,1,1
8.98096,47.285156,1,0
8.98144,47.109375,0,0
8.98192,46.933594,0,1
8.98252,46.757812,1,1
8.983,46.582031,1,0
8.98348,46.40625,0,0
8.98394,46.230469,0,1
8.98452,46.054688,1,1
8.98498,45.878906,1,0
8.98544,45.703125,0,0
8.98592,45.527344,0,1
8.98648,45.351562,1,1
8.98694,45.175781,1,0
8.9874,45,0,0
8.98782,44.824219,0,1
8.98836,44.648438,1,1
8.9888,44.472656,1,0
8.98924,44.296875,0,0
8.98964,44.121094,0,1
8.99018,43.945312,1,1
8.99062,43.769531,1,0
8.99104,43.59375,0,0
8.99144,43.417969,0,1
8.99196,43.242188,1,1
8.99238,43.066406,1,0
8.9928,42.890625,0,0
8.99322,42.714844,0,1
8.99372,42.539062,1,1
8.99414,42.363281,1,0
8.99456,42.1875,0,0
8.99494,42.011719,0,1
8.99544,41.835938,1,1
8.99586,41.660156,1,0
8.99626,41.484375,0,0
8.99664,41.308594,0,1
